City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
102,Mecca,21.4267,39.8261,74.68,65,26,7.78,SA,2022-12-08 19:51:12
103,Bonavista,48.6499,-53.1147,37.44,87,6,9.33,CA,2022-12-08 19:53:10
104,Salisbury,51.0693,-1.7957,34.02,91,11,4.61,GB,2022-12-08 19:53:10
105,Saint-Augustin,51.226,-58.6502,34.57,89,100,8.08,CA,2022-12-08 19:53:10
106,Klaksvik,62.2266,-6.589,38.32,70,100,38.14,FO,2022-12-08 19:53:11
107,Halifax,44.6453,-63.5724,50.45,98,100,23.02,CA,2022-12-08 19:52:25
108,Atuona,-9.8,-139.0333,77.79,68,93,14.81,PF,2022-12-08 19:51:42
109,Riorges,46.0418,4.0497,33.51,79,100,4.05,FR,2022-12-08 19:53:11
110,Bambous Virieux,-20.3428,57.7575,77.25,78,75,13.8,MU,2022-12-08 19:53:11
111,Hasaki,35.7333,140.8333,42.22,69,100,10.83,JP,2022-12-08 19:48:25
112,Gobabis,-22.45,18.9667,78.55,26,84,11.63,NA,2022-12-08 19:53:12
113,Bengkulu,-3.8004,102.2655,74.98,88,100,7.18,ID,2022-12-08 19:53:12
114,Manzanillo,20.3433,-77.1167,84.67,39,46,14.09,CU,2022-12-08 19:53:13
115,Imbituba,-28.24,-48.6703,77.14,67,33,7.25,BR,2022-12-08 19:53:13
116,Mayo,38.8876,-76.5119,57.13,74,100,6.91,US,2022-12-08 19:53:13
117,Carutapera,-1.195,-46.02,83.41,67,59,7.47,BR,2022-12-08 19:53:13
118,Freeport,40.6576,-73.5832,54.99,58,99,5.99,US,2022-12-08 19:53:14
119,Saskylakh,71.9167,114.0833,-7.04,98,100,15.05,RU,2022-12-08 19:53:14
120,Royan,45.6285,-1.0281,36.82,75,100,13.96,FR,2022-12-08 19:53:14
121,Great Yarmouth,52.6083,1.7305,32.95,79,92,12.17,GB,2022-12-08 19:53:15
122,Luziania,-16.2525,-47.9503,85.69,71,89,4.41,BR,2022-12-08 19:53:15
123,Shache,38.4167,77.2406,24.26,37,100,1.66,CN,2022-12-08 19:53:16
124,Carnarvon,-24.8667,113.6333,68.0,70,42,15.39,AU,2022-12-08 19:53:16
125,Srednekolymsk,67.45,153.6833,-45.15,99,56,4.43,RU,2022-12-08 19:53:16
126,Saint-Philippe,-21.3585,55.7679,76.59,84,36,11.07,RE,2022-12-08 19:53:17
127,Tikapur,28.5,81.1333,55.85,72,0,4.72,NP,2022-12-08 19:53:17
128,Mandalgovi,45.7625,106.2708,2.98,62,100,11.03,MN,2022-12-08 19:53:17
129,Sao Joao Da Barra,-21.6403,-41.0511,78.89,83,14,13.04,BR,2022-12-08 19:53:18
130,Rosarito,32.3333,-117.0333,65.25,55,0,10.47,MX,2022-12-08 19:53:18
131,Port Hardy,50.6996,-127.4199,39.38,93,75,4.61,CA,2022-12-08 19:53:18
132,Bayana,26.9,77.2833,59.49,38,0,3.33,IN,2022-12-08 19:53:19
133,Montague,42.5356,-72.5351,50.18,70,77,7.67,US,2022-12-08 19:53:19
134,Hamilton,39.1834,-84.5333,46.72,91,100,11.5,US,2022-12-08 19:51:12
135,Pevek,69.7008,170.3133,-19.01,95,77,3.76,RU,2022-12-08 19:48:25
136,Cape Town,-33.9258,18.4232,77.92,59,0,10.0,ZA,2022-12-08 19:53:10
137,Finschhafen,-6.6024,147.8681,79.75,81,100,7.38,PG,2022-12-08 19:53:20
138,Ponta Do Sol,32.6667,-17.1,67.01,85,90,17.63,PT,2022-12-08 19:53:20
139,Skibbereen,51.55,-9.2667,37.11,74,68,11.07,IE,2022-12-08 19:53:20
140,Muros,42.7762,-9.0603,56.08,93,100,7.54,ES,2022-12-08 19:54:21
141,Palmer,42.1584,-72.3287,49.66,61,75,6.91,US,2022-12-08 19:53:44
142,Champerico,14.3,-91.9167,90.14,69,1,6.98,GT,2022-12-08 19:54:22
143,Lorengau,-2.0226,147.2712,81.1,80,100,9.28,PG,2022-12-08 19:54:22
144,Pisco,-13.7,-76.2167,72.01,78,40,9.22,PE,2022-12-08 19:54:23
145,Talara,-4.5772,-81.2719,81.36,50,0,18.41,PE,2022-12-08 19:54:23
146,Guerrero Negro,27.9769,-114.0611,67.93,49,76,13.62,MX,2022-12-08 19:54:23
147,Klyuchi,52.2667,79.1667,-10.39,98,11,4.99,RU,2022-12-08 19:54:24
148,Puerto Ayora,-0.7393,-90.3518,82.36,84,67,5.01,EC,2022-12-08 19:54:24
149,Paita,-5.0892,-81.1144,72.0,68,99,16.58,PE,2022-12-08 19:54:25
150,Port Blair,11.6667,92.75,79.77,79,67,4.52,IN,2022-12-08 19:54:25
151,Yumen,40.2833,97.2,17.4,74,66,10.04,CN,2022-12-08 19:54:25
152,Wilmington,34.2257,-77.9447,66.11,80,100,0.0,US,2022-12-08 19:54:10
153,Peterhead,57.5058,-1.7981,37.51,71,84,25.23,GB,2022-12-08 19:54:26
154,Vanimo,-2.6741,141.3028,76.39,90,100,3.58,PG,2022-12-08 19:54:26
155,Midyat,37.4247,41.3393,44.02,72,14,4.92,TR,2022-12-08 19:54:26
156,Paamiut,61.994,-49.6678,25.45,74,100,11.07,GL,2022-12-08 19:54:27
157,Vardo,70.3705,31.1107,31.98,64,75,27.63,NO,2022-12-08 19:54:27
158,San Patricio,28.017,-97.5169,83.16,51,0,13.6,US,2022-12-08 19:54:28
159,Pangnirtung,66.1451,-65.7125,17.6,73,100,12.66,CA,2022-12-08 19:54:28
160,Los Llanos De Aridane,28.6585,-17.9182,65.95,94,40,5.75,ES,2022-12-08 19:53:15
161,Talnakh,69.4865,88.3972,-3.8,96,100,2.86,RU,2022-12-08 19:54:28
162,Lompoc,34.6391,-120.4579,61.52,68,0,1.01,US,2022-12-08 19:54:29
163,Beatrice,40.2681,-96.747,37.18,100,100,6.91,US,2022-12-08 19:54:29
164,Yellowknife,62.456,-114.3525,-8.45,77,100,18.41,CA,2022-12-08 19:54:00
165,Miquelon,47.0975,-56.3814,37.4,91,100,15.97,PM,2022-12-08 19:54:30
166,Castro,-24.7911,-50.0119,81.73,57,37,5.37,BR,2022-12-08 19:54:30
167,Itaocara,-21.6692,-42.0761,80.04,81,44,4.83,BR,2022-12-08 19:54:30
168,Sulangan,11.1373,123.7228,79.12,86,100,9.89,PH,2022-12-08 19:54:31
169,Itaituba,-4.2761,-55.9836,82.56,83,40,3.44,BR,2022-12-08 19:54:31
170,Kralendijk,12.15,-68.2667,82.38,65,40,9.22,BQ,2022-12-08 19:54:32
171,Vao,-22.6667,167.4833,77.67,80,0,13.51,NC,2022-12-08 19:54:32
172,Vestmannaeyjar,63.4427,-20.2734,28.58,58,5,14.9,IS,2022-12-08 19:54:33
173,Khatanga,71.9667,102.5,-20.47,94,100,1.19,RU,2022-12-08 19:54:33
174,Avarua,-21.2078,-159.775,80.65,89,20,8.05,CK,2022-12-08 19:54:33
175,Stephenville,32.2207,-98.2023,77.16,65,100,5.99,US,2022-12-08 19:54:34
176,Tautira,-17.7333,-149.15,78.82,80,46,12.73,PF,2022-12-08 19:54:34
177,Atasu,48.6814,71.6433,-9.33,100,95,3.06,KZ,2022-12-08 19:54:34
178,Gizo,-8.103,156.8419,82.51,73,100,4.97,SB,2022-12-08 19:54:35
179,Dikson,73.5069,80.5464,-0.89,91,96,18.97,RU,2022-12-08 19:54:35
180,Udachnyy,66.4167,112.4,-26.55,74,100,4.72,RU,2022-12-08 19:54:35
181,Seoul,37.5683,126.9778,40.44,83,75,4.61,KR,2022-12-08 19:49:50
182,Teya,60.3778,92.6267,4.59,90,100,11.43,RU,2022-12-08 19:54:36
183,Colares,38.7992,-9.4469,60.76,85,40,17.0,PT,2022-12-08 19:54:36
184,Fortuna,40.5982,-124.1573,47.66,92,75,20.71,US,2022-12-08 19:54:37
185,Shimoda,34.6667,138.95,51.73,71,54,6.06,JP,2022-12-08 19:53:55
186,Dudinka,69.4058,86.1778,-3.39,94,97,6.49,RU,2022-12-08 19:55:37
187,Maniitsoq,65.4167,-52.9,34.65,68,100,25.08,GL,2022-12-08 19:55:37
188,Bethel,41.3712,-73.414,51.67,60,64,3.0,US,2022-12-08 19:55:38
189,Lagos,6.5833,3.75,82.72,84,13,5.01,NG,2022-12-08 19:51:23
190,Meulaboh,4.1363,96.1285,75.15,89,100,6.13,ID,2022-12-08 19:55:38
191,Assiniboia,49.6334,-105.9845,22.82,58,11,5.75,CA,2022-12-08 19:55:38
192,La Ronge,55.1001,-105.2842,-7.35,71,75,8.05,CA,2022-12-08 19:55:39
193,Rabo De Peixe,37.8,-25.5833,59.27,100,40,8.05,PT,2022-12-08 19:55:39
194,Esmeraldas,-19.7625,-44.3139,86.86,74,89,4.36,BR,2022-12-08 19:55:40
195,Mehamn,71.0357,27.8492,30.15,69,75,17.27,NO,2022-12-08 19:55:40
196,Dunedin,-45.8742,170.5036,61.2,70,100,4.52,NZ,2022-12-08 19:52:01
197,Oranjemund,-28.55,16.4333,63.54,92,11,2.66,NA,2022-12-08 19:55:40
198,Flin Flon,54.7682,-101.865,-13.16,64,20,0.0,CA,2022-12-08 19:55:41
199,Quatre Cocos,-20.2078,57.7625,77.11,81,48,16.51,MU,2022-12-08 19:55:41
200,Kalmunai,7.4167,81.8167,71.47,68,100,10.89,LK,2022-12-08 19:55:41
201,Shubarkuduk,49.1447,56.4872,2.41,92,5,2.24,KZ,2022-12-08 19:55:42
202,Vlasotince,42.9636,22.1231,51.08,82,99,3.2,RS,2022-12-08 19:55:42
203,Ous,60.9058,61.5186,19.56,75,100,9.48,RU,2022-12-08 19:55:42
204,Tirumullaivasal,11.2333,79.8333,67.66,88,100,24.49,IN,2022-12-08 19:55:43
205,Goderich,43.7501,-81.7165,35.91,80,82,8.05,CA,2022-12-08 19:55:43
206,Kavaratti,10.5669,72.642,82.22,68,100,12.39,IN,2022-12-08 19:55:43
207,Manoel Urbano,-8.8389,-69.2597,86.92,64,94,3.62,BR,2022-12-08 19:55:44
208,Mahebourg,-20.4081,57.7,77.29,78,75,13.8,MU,2022-12-08 19:52:54
209,Mackay,-21.15,149.2,76.68,79,4,8.77,AU,2022-12-08 19:55:44
210,Aykhal,66.0,111.5,-20.54,96,97,4.79,RU,2022-12-08 19:55:44
211,Luzhou,28.8724,105.4405,50.94,69,76,1.3,CN,2022-12-08 19:55:45
212,Pakozd,47.2137,18.5331,38.71,82,100,5.93,HU,2022-12-08 19:55:45
213,Riyadh,24.6877,46.7219,66.34,73,3,10.4,SA,2022-12-08 19:55:45
214,Nikolskoye,59.7035,30.7861,28.29,85,100,12.84,RU,2022-12-08 19:55:46
215,Hualmay,-11.0964,-77.6139,70.81,72,100,9.98,PE,2022-12-08 19:55:46
216,Talaya,61.3833,152.75,-30.15,100,100,2.08,RU,2022-12-08 19:55:47
217,Gamba,-2.65,10.0,75.54,85,54,5.99,GA,2022-12-08 19:55:47
218,Ilebo,-4.3167,20.5833,68.45,100,100,1.61,CD,2022-12-08 19:55:47
219,Hofn,64.2539,-15.2082,29.17,58,6,21.54,IS,2022-12-08 19:55:48
220,Heihe,50.2441,127.4902,-5.22,100,18,1.5,CN,2022-12-08 19:55:48
221,Hambantota,6.1241,81.1185,75.09,69,100,15.95,LK,2022-12-08 19:55:48
222,Wanaka,-44.7,169.15,56.1,80,100,3.0,NZ,2022-12-08 19:55:49
223,Ordynskoye,54.3656,81.8994,-5.85,96,23,5.79,RU,2022-12-08 19:55:49
224,Sabang,5.8933,95.3214,76.48,85,100,8.23,ID,2022-12-08 19:55:49
225,Mattru,7.6244,-11.8332,76.87,87,17,3.76,SL,2022-12-08 19:55:50
226,Miranda,3.2499,-76.2281,78.93,76,68,3.49,CO,2022-12-08 19:55:50
227,Lebu,-37.6167,-73.65,64.72,79,92,9.62,CL,2022-12-08 19:55:51
228,Zhigalovo,54.8097,105.1578,7.14,90,100,6.13,RU,2022-12-08 19:55:51
229,Cockburn Town,21.4612,-71.1419,76.96,69,40,11.5,TC,2022-12-08 19:55:51
230,Boca Do Acre,-8.7522,-67.3978,81.12,81,100,4.07,BR,2022-12-08 19:55:52
231,Zalantun,48.0,122.7167,8.69,77,100,9.75,CN,2022-12-08 19:55:52
232,Coari,-4.085,-63.1414,81.0,89,25,3.09,BR,2022-12-08 19:55:52
233,Taybad,34.74,60.7756,34.63,66,100,7.63,IR,2022-12-08 19:56:53
234,Axams,47.2081,11.2869,23.29,85,0,2.3,AT,2022-12-08 19:56:53
235,Tuatapere,-46.1333,167.6833,57.74,89,100,2.57,NZ,2022-12-08 19:56:54
236,Athabasca,54.7169,-113.2854,10.81,83,99,8.19,CA,2022-12-08 19:55:59
237,Avera,33.194,-82.5271,77.38,54,27,9.35,US,2022-12-08 19:56:54
238,Torbay,47.6666,-52.7314,39.76,97,100,6.91,CA,2022-12-08 19:56:54
239,Northam,51.0333,-4.2167,37.26,80,90,5.28,GB,2022-12-08 19:56:55
240,Hirara,24.8,125.2833,74.08,86,100,12.8,JP,2022-12-08 19:56:55
241,Ballina,-28.8667,153.5667,68.02,88,100,13.6,AU,2022-12-08 19:56:55
242,Luwuk,-0.9516,122.7875,75.72,71,86,3.91,ID,2022-12-08 19:56:56
243,Kati,12.7441,-8.0726,81.81,18,0,4.0,ML,2022-12-08 19:56:56
244,Anchorage,61.2181,-149.9003,16.63,88,57,4.0,US,2022-12-08 19:56:57
245,Lagoa,39.05,-27.9833,59.13,75,51,22.75,PT,2022-12-08 19:56:57
246,Manado,1.487,124.8455,74.17,100,40,3.44,ID,2022-12-08 19:56:57
247,Weligama,5.9667,80.4167,71.87,77,100,10.51,LK,2022-12-08 19:56:58
248,Cherskiy,68.75,161.3,-22.85,90,31,3.8,RU,2022-12-08 19:56:58
249,Te Anau,-45.4167,167.7167,53.44,96,100,1.61,NZ,2022-12-08 19:56:59
250,Havelock,34.8791,-76.9013,67.98,75,99,4.0,US,2022-12-08 19:56:59
251,Pinczow,50.5205,20.5265,37.85,86,100,2.21,PL,2022-12-08 19:57:00
252,Haimen,23.1935,116.6142,58.89,81,0,7.92,CN,2022-12-08 19:57:00
253,Cervo,43.6702,-7.4101,53.96,91,100,9.1,ES,2022-12-08 19:57:00
254,Port Lincoln,-34.7333,135.8667,59.05,70,100,15.84,AU,2022-12-08 19:57:01
255,Ayan,56.45,138.1667,2.03,62,66,17.43,RU,2022-12-08 19:57:01
256,Muchkapskiy,51.8513,42.4717,20.8,90,100,16.06,RU,2022-12-08 19:57:02
257,Buarcos,40.166,-8.8768,56.66,88,100,16.96,PT,2022-12-08 19:57:02
258,Pontianak,-0.0333,109.3333,75.18,100,100,3.44,ID,2022-12-08 19:57:03
259,Dayong,25.0209,118.2898,58.73,88,3,4.18,CN,2022-12-08 19:57:04
260,Jardim,-21.4803,-56.1381,94.59,41,59,4.61,BR,2022-12-08 19:57:04
261,Daru,-9.0763,143.2092,79.11,84,100,3.13,PG,2022-12-08 19:57:05
262,Ulcinj,41.9294,19.2244,58.98,87,90,4.07,ME,2022-12-08 19:57:05
263,Nantucket,41.2835,-70.0995,51.1,77,50,22.77,US,2022-12-08 19:57:05
264,Laguna,38.421,-121.4238,57.18,73,100,4.0,US,2022-12-08 19:57:06
265,Kununurra,-15.7667,128.7333,78.78,89,9,0.0,AU,2022-12-08 19:57:06
266,Staryy Nadym,65.6118,72.6842,-2.36,95,100,20.47,RU,2022-12-08 19:57:06
267,Bin Qirdan,33.1378,11.2197,66.47,33,26,8.39,TN,2022-12-08 19:57:07
268,Ancud,-41.8697,-73.8203,57.97,90,97,21.45,CL,2022-12-08 19:57:07
269,Aksarka,66.5606,67.7975,-14.33,86,81,15.28,RU,2022-12-08 19:57:08
270,Huarmey,-10.0681,-78.1522,70.16,75,74,9.89,PE,2022-12-08 19:52:27
271,Portland,45.5234,-122.6762,45.28,93,100,14.97,US,2022-12-08 19:57:08
272,Yar-Sale,66.8333,70.8333,-19.19,93,98,16.35,RU,2022-12-08 19:57:09
